nombre,latitud,longitud,dependencia,turno,nivel,foto_url,telefono,url,año,matricula_total,matricula_mujer,matricula_hombre,promovidos_total,promovidos_mujer,promovidos_hombre,reprobados_total,reprobados_mujer,reprobados_hombre,abandono_total,abandono_mujer,abandono_hombre
Claudio Sanjines,-16.50779914856,-68.129577636719,fiscal,tarde,primaria secundaria,,79601843 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730469,2018,0,0,0,0,0,0,0,0,0,0,0,0
Claudio Sanjines,-16.50779914856,-68.129577636719,fiscal,tarde,primaria secundaria,,79601843 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730469,2019,667,286,381,627,281,346,30,3,27,10,2,8
Claudio Sanjines,-16.50779914856,-68.129577636719,fiscal,tarde,primaria secundaria,,79601843 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730469,2020,684,308,376,0,0,0,0,0,0,0,0,0
Claudio Sanjines,-16.50779914856,-68.129577636719,fiscal,tarde,primaria secundaria,,79601843 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730469,2021,738,325,413,697,314,383,23,7,16,18,4,14
Claudio Sanjines,-16.50779914856,-68.129577636719,fiscal,tarde,primaria secundaria,,79601843 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730469,2022,694,303,391,655,291,364,30,10,20,9,2,7
Claudio Sanjines,-16.50779914856,-68.129577636719,fiscal,tarde,primaria secundaria,,79601843 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730469,2023,661,279,382,620,264,356,27,6,21,14,9,5
Bolivia Ii,-16.50779914856,-68.129577636719,fiscal,noche,secundaria,,65100910 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730630,2018,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia Ii,-16.50779914856,-68.129577636719,fiscal,noche,secundaria,,65100910 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730630,2019,93,40,53,71,32,39,2,0,2,20,8,12
Bolivia Ii,-16.50779914856,-68.129577636719,fiscal,noche,secundaria,,65100910 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730630,2020,73,30,43,0,0,0,0,0,0,0,0,0
Bolivia Ii,-16.50779914856,-68.129577636719,fiscal,noche,secundaria,,65100910 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730630,2021,105,44,61,93,41,52,0,0,0,12,3,9
Bolivia Ii,-16.50779914856,-68.129577636719,fiscal,noche,secundaria,,65100910 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730630,2022,88,28,60,60,16,44,7,3,4,21,9,12
